scorer,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000,DLC_resnet50_NOVEL_VIDEONov7shuffle1_100000
bodyparts,leftear,leftear,leftear,rightear,rightear,rightear,nose,nose,nose,tailbase,tailbase,tailbase,object1,object1,object1,object2,object2,object2
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,138.72007751464844,422.8099060058594,0.9999957084655762,150.51173400878906,412.8984375,0.9999945163726807,128.04122924804688,405.0489196777344,0.9999994039535522,164.60980224609375,464.0550231933594,0.9999998807907104,461.25103759765625,423.8855895996094,0.9986991882324219,226.04710388183594,133.24093627929688,0.9694259166717529
1,141.65805053710938,390.28302001953125,0.9999997615814209,154.4031982421875,388.791259765625,0.9999991655349731,145.16661071777344,372.2801513671875,1.0,154.41053771972656,442.11212158203125,0.9999997615814209,461.21051025390625,425.9791564941406,0.9987152814865112,226.73443603515625,132.14089965820312,0.9883091449737549
2,141.66065979003906,390.1670227050781,0.9999997615814209,154.4563446044922,388.6535339355469,0.9999992847442627,145.16656494140625,372.26495361328125,1.0,154.3641815185547,441.99468994140625,0.9999997615814209,461.2274475097656,425.77130126953125,0.9987323880195618,226.74557495117188,132.1219940185547,0.987250566482544
3,142.75502014160156,387.6275939941406,0.9999998807907104,156.251220703125,387.1837158203125,0.9999997615814209,146.42274475097656,369.93621826171875,0.9999998807907104,152.1082763671875,440.0420837402344,0.9999997615814209,461.7723083496094,425.3609619140625,0.9993993043899536,226.47361755371094,131.72305297851562,0.9975130558013916
4,148.9193878173828,378.4580383300781,0.9999995231628418,162.2192840576172,384.0628662109375,0.9999998807907104,162.444580078125,364.42767333984375,0.999998927116394,149.75424194335938,435.139404296875,1.0,462.10888671875,424.5963134765625,0.9992720484733582,226.4886932373047,131.41104125976562,0.9944698810577393
5,154.32949829101562,366.8954772949219,0.9999942779541016,167.71987915039062,374.8542175292969,0.9999997615814209,170.5745086669922,356.6623229980469,0.9999982118606567,148.64178466796875,422.8349609375,1.0,461.8791809082031,425.69500732421875,0.9995349645614624,226.27476501464844,131.59030151367188,0.9840003848075867
6,154.45211791992188,359.1234436035156,0.9999994039535522,170.307373046875,365.13201904296875,0.9999990463256836,167.4279022216797,344.3520202636719,0.9999908208847046,149.88272094726562,412.2370300292969,1.0,462.1094665527344,425.44403076171875,0.9998546838760376,226.30931091308594,131.0260772705078,0.9817779064178467
7,157.54666137695312,349.7415771484375,0.9999979734420776,169.57843017578125,354.059326171875,0.9999997615814209,167.4437713623047,334.8182678222656,0.9999972581863403,151.40211486816406,404.7333984375,1.0,461.7375793457031,426.4445495605469,0.9996750354766846,227.1359100341797,131.93959045410156,0.9879839420318604
8,146.2016143798828,338.45074462890625,0.9999998807907104,160.43106079101562,339.2398681640625,0.9999988079071045,152.43528747558594,322.5335388183594,0.9999974966049194,151.10633850097656,394.7698974609375,0.9999998807907104,462.2500915527344,425.89910888671875,0.9995988011360168,227.1472625732422,131.91842651367188,0.9959469437599182
9,142.3539276123047,318.94451904296875,0.9999994039535522,155.25601196289062,317.7955017089844,0.9999961853027344,146.42457580566406,301.9188537597656,0.9999995231628418,152.48086547851562,378.1462097167969,0.9999996423721313,461.6072998046875,425.3465576171875,0.9991812109947205,225.52671813964844,132.11610412597656,0.9196674823760986
10,140.2880401611328,304.7031555175781,0.9999995231628418,153.22088623046875,302.2447509765625,0.9999939203262329,141.0885009765625,287.4437255859375,0.9999995231628418,152.45925903320312,361.29638671875,0.9999997615814209,461.3404541015625,425.8966064453125,0.9995800852775574,226.7067108154297,131.97779846191406,0.9769123792648315
11,137.24481201171875,296.1325988769531,0.9999979734420776,150.0960693359375,292.6373291015625,0.9999992847442627,138.980224609375,278.025634765625,0.9999998807907104,150.32191467285156,352.855712890625,1.0,461.2496337890625,425.3116455078125,0.9995300769805908,226.27000427246094,131.38931274414062,0.9953421354293823
12,142.29656982421875,286.6714172363281,0.9999914169311523,152.86932373046875,285.35272216796875,0.9999889135360718,149.04212951660156,270.5680847167969,0.9999967813491821,152.16111755371094,342.6811218261719,0.9999998807907104,461.9033203125,426.3096618652344,0.998112678527832,226.22618103027344,131.73995971679688,0.965225875377655
13,148.1837615966797,274.4226989746094,0.9999990463256836,162.57867431640625,280.2144470214844,0.9999991655349731,161.43055725097656,262.3562316894531,0.9999980926513672,150.54583740234375,333.33929443359375,0.9999996423721313,460.3236999511719,424.96295166015625,0.9964602589607239,226.18153381347656,132.02171325683594,0.7839633822441101
14,151.59243774414062,266.4181823730469,0.999998927116394,164.5733184814453,271.1146240234375,0.9999998807907104,163.44903564453125,254.08518981933594,0.9999979734420776,149.42630004882812,322.6659240722656,1.0,461.0670471191406,425.4482727050781,0.9925751686096191,225.9895477294922,131.56185913085938,0.9311509132385254
15,148.85067749023438,256.80615234375,0.9999984502792358,162.8888397216797,261.47869873046875,0.9999997615814209,160.6640625,242.9689178466797,0.9999997615814209,149.58509826660156,312.3342590332031,1.0,460.63623046875,425.4249267578125,0.9997746348381042,225.36817932128906,131.59962463378906,0.8498069643974304
16,149.30548095703125,244.31103515625,0.999998927116394,164.84857177734375,249.22557067871094,0.9999994039535522,161.71414184570312,228.15847778320312,0.9999995231628418,150.33480834960938,305.1747131347656,1.0,462.14117431640625,426.88848876953125,0.9997054934501648,225.36541748046875,132.06402587890625,0.958063006401062
17,150.00784301757812,226.503662109375,0.999998927116394,163.85276794433594,228.37994384765625,0.9999990463256836,158.162109375,211.21226501464844,0.9999985694885254,153.17633056640625,284.5465393066406,0.9999994039535522,461.64654541015625,427.0842590332031,0.9997895359992981,226.07418823242188,132.44326782226562,0.98592209815979
18,141.92123413085938,213.761962890625,0.9999994039535522,154.84323120117188,212.65478515625,0.9999990463256836,147.40435791015625,197.38768005371094,0.9999998807907104,149.36795043945312,273.5088806152344,1.0,461.7027587890625,427.2659912109375,0.9996582269668579,227.15943908691406,131.90419006347656,0.9914864301681519
19,139.7268829345703,195.09776306152344,0.9999992847442627,152.58226013183594,193.73638916015625,0.9999986886978149,144.77334594726562,178.3901824951172,0.9999998807907104,148.0904998779297,258.59625244140625,1.0,462.0596008300781,425.87457275390625,0.9984024167060852,226.1512908935547,132.43508911132812,0.9162123203277588
20,139.78640747070312,185.0944061279297,0.9999982118606567,152.99168395996094,179.62899780273438,0.9999969005584717,137.22898864746094,167.45504760742188,0.9999992847442627,148.1235809326172,243.31961059570312,1.0,461.5116882324219,425.48052978515625,0.9978910088539124,226.66964721679688,131.9561004638672,0.9686971306800842
21,134.37318420410156,186.24415588378906,0.9999986886978149,146.6634063720703,178.9932403564453,0.999995231628418,128.4728240966797,168.46104431152344,0.9999988079071045,146.153564453125,241.21820068359375,1.0,462.057373046875,425.1172790527344,0.9984681010246277,226.82078552246094,131.94076538085938,0.9762547016143799
22,132.0807647705078,181.886962890625,0.9999998807907104,145.8275604248047,175.01602172851562,0.9999721050262451,126.03267669677734,161.85569763183594,0.9999995231628418,147.09017944335938,236.37930297851562,1.0,461.05828857421875,426.1164855957031,0.9983630776405334,226.79737854003906,132.1373291015625,0.9567357897758484
23,131.8025665283203,185.91738891601562,0.9999995231628418,145.10450744628906,177.52670288085938,0.9999650716781616,122.96531677246094,165.8504180908203,0.9999996423721313,147.4946746826172,234.19561767578125,0.9999998807907104,224.5567169189453,134.44102478027344,0.9987727999687195,226.9911651611328,132.48031616210938,0.5385492444038391
24,130.8905487060547,192.44956970214844,0.9999997615814209,141.27642822265625,181.20152282714844,0.9999499320983887,119.39402770996094,174.92922973632812,0.9999995231628418,148.5962371826172,240.131591796875,1.0,461.8779602050781,425.37225341796875,0.9964571595191956,227.4751739501953,131.7287139892578,0.9413182139396667
25,132.1200714111328,194.5237274169922,0.9999998807907104,146.00064086914062,186.8310546875,0.9999521970748901,123.49639892578125,175.27984619140625,0.9999955892562866,149.10667419433594,242.5452423095703,1.0,461.50408935546875,425.17913818359375,0.9986169338226318,227.64093017578125,131.54090881347656,0.9206900000572205
26,137.40432739257812,187.22128295898438,0.9999986886978149,150.73489379882812,185.85626220703125,0.9999994039535522,141.45541381835938,170.43853759765625,0.9999988079071045,148.7452850341797,243.02883911132812,1.0,461.8067626953125,425.94580078125,0.9989444613456726,227.02195739746094,131.40093994140625,0.8113377094268799
27,139.4823455810547,167.54241943359375,0.9999966621398926,152.7408447265625,171.4470977783203,0.9999918937683105,150.39263916015625,152.27432250976562,0.9999991655349731,145.8093719482422,228.4435272216797,1.0,461.6288757324219,425.8284912109375,0.9983830451965332,227.35496520996094,131.55267333984375,0.8100773096084595
28,151.949462890625,148.9682159423828,0.9999957084655762,162.78123474121094,159.89083862304688,0.9999997615814209,171.56497192382812,143.84376525878906,0.9999971389770508,144.0494842529297,209.8424072265625,0.9999998807907104,461.3083801269531,425.5691833496094,0.99826979637146,227.09498596191406,131.40676879882812,0.6627769470214844
29,158.95718383789062,144.9197998046875,0.9999978542327881,168.06434631347656,158.3828887939453,0.9999943971633911,181.32217407226562,140.89088439941406,0.9999996423721313,135.70973205566406,207.21273803710938,0.9999992847442627,460.9991760253906,425.8123474121094,0.9986082911491394,226.906005859375,130.7627410888672,0.5017872452735901
30,170.53196716308594,143.11630249023438,0.9999804496765137,180.27195739746094,160.19557189941406,0.9999982118606567,191.0692596435547,145.5239715576172,0.9999997615814209,138.50424194335938,200.3504638671875,0.9999984502792358,225.73777770996094,132.74374389648438,0.9995198249816895,227.75523376464844,130.9036102294922,0.26976174116134644
31,179.1233673095703,142.1468048095703,0.9999797344207764,186.29824829101562,155.8160858154297,0.9999351501464844,200.6533966064453,141.88543701171875,0.9999697208404541,136.20713806152344,192.55764770507812,0.9999972581863403,226.9598846435547,130.6650390625,0.999792754650116,227.34934997558594,131.0654296875,0.18302562832832336
